uf,codigo_escola,nome_escola,dependencia_adm,reprovacao_fundamental_total,reprovacao_medio_total,evasao_fundamental_total,evasao_medio_total
RO,11027142,EIEEFM SERTANISTA JOSE DO CARMO SANTANA,Pública,0,4.8,0,0
RO,11027207,EIEEFM TANCREDO NEVES,Pública,0,8.3,0,0
RO,11027290,ESCOLA DE EDUCACAO BASICA E PROFISSIONAL ANTONIO SANCHEZ DE LARRAGOITI Y CURDUMI,Privada,0,1.3,0,0
RO,11027312,EEEFM BERNARDO GUIMARAES,Pública,0.3,0,0.3,0
RO,11027320,EEEFM CARLOS GOMES,Pública,0.2,2.4,0.2,2.3
RO,11027347,EEEMTI CLODOALDO NUNES DE ALMEIDA,Pública,,0,,1.1
RO,11027355,ESCOLA DE ENSINO FUNDAMENTAL E MEDIO FAMILIA AGRICOLA PE EZEQUIEL RAMIN,Privada,0,6.7,0,0.9
RO,11027380,EMEIEF JOSE DE ALMEIDA E SILVA,Pública,0,,0,
RO,11027398,EMEIEF LUIZ LENZI,Pública,0,,0,
RO,11027401,EEEFM CELSO FERREIRA DA CUNHA,Pública,0,2,1,2.1
RO,11041234,EIEEF PAITEREY,Pública,25,,0,
RO,11041250,EIEEFM NOA SURUI,Pública,0,0,0,0
RO,11041277,EIEEFM JOAO EVANGELISTA DIAS,Pública,4.5,15.4,0,0
RO,11043342,EMIEF MARIA SOCORRO VIANA DE ALMEIDA,Pública,0.9,,0,
RO,11044020,EMEIEF PEDRO KEMPER,Pública,0,,0,
RO,11046740,EEEMTI JOSINO BRITO,Pública,,2.7,,0
RO,11049456,EIEEF KABANEY,Pública,0,0,0,0
RO,11049723,INSTITUTO EDUCACIONAL SOMA - IES,Privada,0.5,5.4,0,0
RO,11050373,COOPERATIVA EDUCACIONAL DE CACOAL,Privada,0.3,1.4,0,0
RO,11051167,EIEEFM SOESAME IKINAH,Pública,20,50,0,0
RO,11051205,EMEIEF RODOLFO LUCHTENBERG,Pública,0,,0,
RO,11052600,EMEIEF ANGELA MARIA DA MATA PERDONCINI,Pública,0,,0,
RO,11058811,CENTRO EDUCACIONAL ALECRIM DOURADO,Privada,0,,0,
RO,11109815,IFRO - CAMPUS CACOAL,Pública,,2.7,,0
RO,11034696,EEEF FLORIANO PEIXOTO,Pública,1.1,,0,
RO,11034750,EMEIEF IRMA DULCE,Pública,1.2,,0,
RO,11034777,EEEF GOV JERONIMO GARCIA DE SANTANA,Pública,0,,1.2,
RO,11034955,EMEIEF REGINA SPERFELD SEBOLD,Pública,4.9,,0,
RO,11034998,EEEM TANCREDO DE ALMEIDA NEVES,Pública,,4.6,,7.7
RO,11035056,EEEF CASTRO ALVES,Pública,0.9,,1.5,
RO,11035072,EMEIEF MUNDO DA CRIANCA TIAGO PANATTO,Pública,2.3,,0,
RO,11037075,ESCOLA DE EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO DIMENSAO,Privada,0,0,0,0
RO,11042346,EMEIEF PROF¿ MARIA HELENA BARREIROS,Pública,3.6,,0,
RO,11050934,ESCOLA FAMILIA AGRICOLA MANOEL RIBEIRO,Privada,,0,,0
RO,11035110,EMEIEF 16 DE JUNHO,Pública,2.6,,0,
RO,11035188,EMEIEF PROFESSORA CLAIR DA SILVA WEYH,Pública,3.2,,0,
